seed,sequence_length,hidden_size,test_loss,test_accuracy,test_balanced_accuracy,test_roc_auc
2,13,13,1.2168733328438535,0.5336676217765043,0.611242108967732,0.7072388535732353
3,13,13,1.134101972994399,0.6325214899713467,0.6702967248091856,0.7382838791984692
4,13,13,1.2917766471988492,0.6981852913085005,0.6497459472538107,0.6793348437190684
5,13,13,1.3391973494686393,0.5709169054441261,0.5583551459428546,0.6147020654158327
6,13,13,1.3687923031982743,0.6712034383954155,0.4925565844752876,0.5065569804016452
7,13,13,1.2996166128142175,0.8407354345749761,0.6412401293359435,0.6782768405076656
1,13,13,1.2116215845575304,0.7347182425978988,0.6503156412907198,0.7019818313793633
1,13,14,1.1700416946821022,0.7538204393505253,0.6779337043309944,0.7450982117326178
1,13,15,1.2436476565591472,0.5563514804202483,0.586855244924444,0.6705100851241669
1,14,13,1.159426440664582,0.7371442238698875,0.6694861851672322,0.7357290794518133
1,14,14,1.1839650161698,0.8761061946902655,0.659165822059666,0.7180540254704094
1,14,15,1.1074987888564278,0.7890456828509926,0.6599039351341823,0.7644163398404795
1,15,13,1.122086963006812,0.6520488856937455,0.6622499889619851,0.7571636716852841
1,15,14,1.1694887194192412,0.6800862688713156,0.7123338778754029,0.7522009801757251
1,15,15,1.1692525300367143,0.8329738797028516,0.6821647754867765,0.7212503863305224
1,16,14,1.2603071412385454,0.7513202112337974,0.6318259215851043,0.6738307423542159
1,14,16,1.1884844664807697,0.8392729012198039,0.6674128585907548,0.7454589520997665
1,14,18,1.173291128350627,0.8588854341066731,0.6683801172167628,0.7436566342043802
1,14,20,1.152644972971141,0.8196603683329347,0.6664455999647468,0.7385228925219232
1,14,22,1.1410970925657522,0.8100932791198278,0.6795377429163179,0.7452606530648218
1,14,24,1.2429582011440217,0.6299928246830901,0.6690146741285858,0.7101264707178426
1,14,26,1.1412372367286818,0.8349677110739058,0.6831710219010267,0.7560481205658132
1,14,28,1.2996071461312824,0.649844534800287,0.6252544837615124,0.7052042480059931
1,14,30,1.2061444166686883,0.5874192776847644,0.6384744194244921,0.7240690961970652
1,14,32,1.1699305642195736,0.834011002152595,0.6826862909267175,0.7389018640109286
1,16,16,1.262627833975775,0.7700432069131061,0.6861590853806859,0.745222352446872
1,16,18,1.20833132055821,0.9080652904464714,0.6484619977444108,0.7333694522456381
1,16,20,1.2065330631619626,0.727556409025444,0.6556621923442648,0.7307158178722274
1,16,22,1.2178712169310248,0.9351896303408546,0.653236328254572,0.7584219720926119
1,16,24,1.2787252205012225,0.8804608737397984,0.6524137015988147,0.738597111961257
1,16,26,1.2063854978568727,0.913586173787806,0.6512593706463812,0.7505163530218261
1,16,28,1.194237008068462,0.7695631301008161,0.694885119745251,0.7599809822869905
1,16,30,1.156654253308726,0.6233797407585213,0.7194776763008337,0.7750293005462064
1,16,32,1.23633481039202,0.7088334133461354,0.7179297229163442,0.7692421662501934
1,15,16,1.1607256502434415,0.8521447399952072,0.6739392467658616,0.7288533710097576
1,15,18,1.177963860366889,0.9127725856697819,0.6598105876639145,0.7184511457459491
1,15,20,1.1342672639375335,0.7797747423915649,0.6731489248973465,0.7520199567309815
1,15,22,1.1532846340709186,0.8832973879702851,0.6986930990330699,0.7420151000044153
1,15,24,1.1829299005192588,0.8351306014857417,0.6653185571106892,0.7260717912490617
1,15,26,1.1468813654161203,0.8780254013898874,0.6780829175681046,0.7417060355865602
1,15,28,1.1453684226174792,0.8818595734483585,0.688995099121374,0.7489602189942159
1,15,30,1.157384367946695,0.8737119578241074,0.6758973906132721,0.734314980793854
1,15,32,1.1397032680026982,0.7375988497483824,0.7145657644929135,0.7762726831206676
6,15,16,1.1882451084086914,0.9285885454109754,0.640915713718045,0.7097708508101903
6,15,18,1.209848957655386,0.6400670980110232,0.6561790807541172,0.7361296304472604
6,15,20,1.2701935103092152,0.8130841121495327,0.6451785950814606,0.7231356792794383
6,15,22,1.2410503964172175,0.9103762281332375,0.6855048788025961,0.7290299792485319
6,15,24,1.207240726331884,0.9122933141624731,0.650598260408848,0.7375115899156695
6,15,26,1.197281489448241,0.8559789120536784,0.6938209192458829,0.733303898626871
6,15,28,1.2347292208054528,0.7181883537023724,0.6509139476356571,0.7213740120976644
6,15,30,1.182175308458816,0.877306494128924,0.659779681222129,0.7302927281557684
6,15,32,1.1614371617078039,0.8099688473520249,0.6974171045079253,0.748960218994216
